pm2_5,so2,nox,timestamp
80.22,27.22,42.81,2025-11-17T05:54:39
82.1,22.64,42.13,2025-11-17T05:54:39
83.83,30.42,40.88,2025-11-17T05:54:39
83.26,28.79,41.38,2025-11-17T05:54:39
84.31,25.65,43.39,2025-11-17T05:54:39
85.75,27.73,42.55,2025-11-17T05:54:39
85.9,26.27,44.62,2025-11-17T05:54:39
86.82,29.1,44.62,2025-11-17T05:54:39
89.77,32.44,44.32,2025-11-17T05:54:39
92.56,35.72,44.46,2025-11-17T05:54:39
95.68,36.24,46.8,2025-11-17T05:54:39
96.85,34.7,51.17,2025-11-17T05:54:39
111.14,37.76,56.85,2025-11-17T05:54:39
123.34,45.53,60.66,2025-11-17T05:54:39
133.25,48.95,64.72,2025-11-17T05:54:39
138.33,47.33,70.4,2025-11-17T05:54:39
151.35,46.1,76.71,2025-11-17T05:54:39
162.69,49.51,80.13,2025-11-17T05:54:39
80.0,23.0,40.92,2025-11-17T05:54:39
81.43,31.4,42.68,2025-11-17T05:54:39
81.86,27.36,40.19,2025-11-17T05:54:39
81.35,24.0,41.34,2025-11-17T05:54:39
80.12,27.37,39.9,2025-11-17T05:54:39
81.53,27.67,40.49,2025-11-17T05:54:39
81.58,28.05,38.03,2025-11-17T05:54:39
84.32,27.53,40.64,2025-11-17T05:54:39
83.2,26.56,43.06,2025-11-17T05:54:39
83.84,25.24,41.67,2025-11-17T05:54:39
83.16,25.28,39.33,2025-11-17T05:54:39
82.61,25.48,38.78,2025-11-17T05:54:39
83.49,31.04,41.93,2025-11-17T05:54:39
81.95,29.55,41.7,2025-11-17T05:54:39
85.28,32.04,44.8,2025-11-17T05:54:39
85.18,28.24,42.29,2025-11-17T05:54:39
84.19,30.73,44.4,2025-11-17T05:54:39
82.61,30.04,43.24,2025-11-17T05:54:39
85.44,30.83,44.56,2025-11-17T05:54:39
88.53,27.27,41.8,2025-11-17T05:54:39
89.8,31.91,47.83,2025-11-17T05:54:39
92.68,26.35,46.49,2025-11-17T05:54:39
92.24,33.3,46.33,2025-11-17T05:54:39
91.82,28.31,44.05,2025-11-17T05:54:39
90.4,34.2,42.91,2025-11-17T05:54:39
93.04,30.16,45.1,2025-11-17T05:54:39
92.0,30.47,43.62,2025-11-17T05:54:39
102.25,35.66,49.07,2025-11-17T05:54:39
112.58,41.36,56.22,2025-11-17T05:54:39
119.62,37.63,59.19,2025-11-17T05:54:39
126.64,40.93,61.19,2025-11-17T05:54:39
133.37,43.88,67.02,2025-11-17T05:54:39
144.14,47.0,71.49,2025-11-17T05:54:39
152.85,54.52,78.12,2025-11-17T05:54:39
80.0,30.05,41.07,2025-11-17T05:54:39
79.02,25.14,41.73,2025-11-17T05:54:39
79.28,30.01,37.92,2025-11-17T05:54:39
82.42,28.85,38.88,2025-11-17T05:54:39
81.07,25.13,37.68,2025-11-17T05:54:39
82.34,31.96,42.88,2025-11-17T05:54:39
96.41,33.32,47.06,2025-11-17T05:54:39
104.13,38.88,54.73,2025-11-17T05:54:39
112.28,37.34,55.2,2025-11-17T05:54:39
122.43,37.86,59.73,2025-11-17T05:54:39
128.1,46.63,61.07,2025-11-17T05:54:39
80.0,27.83,39.41,2025-11-17T05:54:39
79.98,28.74,40.24,2025-11-17T05:54:39
78.77,28.14,41.8,2025-11-17T05:54:39
80.04,26.5,41.72,2025-11-17T05:54:39
83.16,32.44,41.87,2025-11-17T05:54:39
81.32,25.15,38.4,2025-11-17T05:54:39
82.87,29.63,44.37,2025-11-17T05:54:39
84.63,26.03,43.74,2025-11-17T05:54:39
86.61,33.62,46.03,2025-11-17T05:54:39
86.97,25.93,42.15,2025-11-17T05:54:39
87.48,28.23,45.0,2025-11-17T05:54:39
86.56,31.42,44.23,2025-11-17T05:54:39
89.34,33.69,42.78,2025-11-17T05:54:39
88.25,34.33,43.4,2025-11-17T05:54:39
88.88,26.54,46.17,2025-11-17T05:54:39
95.26,29.57,49.07,2025-11-17T05:54:39
101.69,38.77,50.02,2025-11-17T05:54:39
116.48,33.91,60.19,2025-11-17T05:54:39
126.64,40.79,65.12,2025-11-17T05:54:39
80.0,22.32,39.9,2025-11-17T05:54:39
78.6,26.11,38.89,2025-11-17T05:54:39
78.51,30.64,42.09,2025-11-17T05:54:39
78.24,24.27,36.35,2025-11-17T05:54:39
78.01,26.59,38.35,2025-11-17T05:54:39
77.07,27.78,38.23,2025-11-17T05:54:39
78.69,21.56,41.77,2025-11-17T05:54:39
80.43,31.18,37.79,2025-11-17T05:54:39
79.33,25.15,37.87,2025-11-17T05:54:39
85.88,30.43,40.96,2025-11-17T05:54:39
96.68,34.36,45.48,2025-11-17T05:54:39
105.03,39.15,52.58,2025-11-17T05:54:39
116.61,42.82,57.54,2025-11-17T05:54:39
80.0,29.58,37.6,2025-11-17T05:54:39
79.14,31.0,39.53,2025-11-17T05:54:39
79.94,26.71,40.39,2025-11-17T05:54:39
81.49,23.24,41.27,2025-11-17T05:54:39
81.06,28.47,38.84,2025-11-17T05:54:39
83.95,22.99,39.13,2025-11-17T05:54:39
82.91,29.18,40.38,2025-11-17T05:54:39
85.93,33.18,41.11,2025-11-17T05:54:39
85.51,29.96,45.74,2025-11-17T05:54:39
85.86,31.53,40.73,2025-11-17T05:54:39
87.84,33.69,43.01,2025-11-17T05:54:39
89.77,28.76,43.19,2025-11-17T05:54:39
89.52,34.76,43.36,2025-11-17T05:54:39
88.56,26.13,42.45,2025-11-17T05:54:39
87.45,24.33,41.33,2025-11-17T05:54:39
92.61,33.44,47.37,2025-11-17T05:54:39
106.58,33.15,52.35,2025-11-17T05:54:39
117.03,36.87,59.83,2025-11-17T05:54:39
123.9,38.63,60.59,2025-11-17T05:54:39
132.81,46.56,64.41,2025-11-17T05:54:39
145.62,53.03,73.34,2025-11-17T05:54:39
80.0,25.56,42.81,2025-11-17T05:54:39
82.55,31.74,39.19,2025-11-17T05:54:39
81.93,30.53,40.65,2025-11-17T05:54:39
84.32,30.61,42.33,2025-11-17T05:54:39
82.81,32.42,40.32,2025-11-17T05:54:39
84.23,32.41,43.73,2025-11-17T05:54:39
87.31,27.57,44.65,2025-11-17T05:54:39
86.35,33.34,45.17,2025-11-17T05:54:39
85.36,25.39,43.11,2025-11-17T05:54:39
91.76,26.21,47.62,2025-11-17T05:54:39
98.12,29.52,50.08,2025-11-17T05:54:39
111.03,40.74,57.35,2025-11-17T05:54:39
122.43,39.06,58.88,2025-11-17T05:54:39
135.81,43.66,67.96,2025-11-17T05:54:39
148.41,49.0,73.14,2025-11-17T05:54:39
159.59,53.58,78.56,2025-11-17T05:54:39
172.12,58.53,86.19,2025-11-17T05:54:39
80.0,26.08,40.81,2025-11-17T05:54:39
79.57,31.28,41.64,2025-11-17T05:54:39
81.69,25.19,40.74,2025-11-17T05:54:39
79.85,28.92,41.78,2025-11-17T05:54:39
80.89,29.55,41.77,2025-11-17T05:54:39
83.42,29.43,39.31,2025-11-17T05:54:39
83.71,30.18,42.17,2025-11-17T05:54:39
86.21,28.11,42.17,2025-11-17T05:54:39
85.87,24.57,40.18,2025-11-17T05:54:39
84.11,32.53,45.01,2025-11-17T05:54:39
84.3,24.4,40.7,2025-11-17T05:54:39
86.12,24.97,42.56,2025-11-17T05:54:39
86.37,29.61,41.11,2025-11-17T05:54:39
88.26,28.28,41.96,2025-11-17T05:54:39
89.23,29.89,43.7,2025-11-17T05:54:39
91.53,30.06,46.26,2025-11-17T05:54:39
91.33,30.17,45.54,2025-11-17T05:54:39
91.63,29.35,45.07,2025-11-17T05:54:39
91.09,26.96,46.45,2025-11-17T05:54:39
